;C6H;C6R;C6K;C32H;C32R;C32K;Cell Type ;Size;Polydispersity;Uptake;;
1;20;80;0;0;0;0;1;122.5;0.0686;36.25;1;
2;40;60;0;0;0;0;1;126;0.017395;24;2;
3;80;20;0;0;0;0;1;260.5;0.1115;2.25;3;
4;0;80;20;0;0;0;1;121.5;0.0835;74.5;4;
5;0;60;40;0;0;0;1;120;0.0767;71;5;
6;0;20;80;0;0;0;1;382.5;158;63;6;
7;80;0;20;0;0;0;1;503;0.1051;3;7;
8;60;0;40;0;0;0;1;603;0.1175;2.5;8;
9;20;0;80;0;0;0;1;694;0.0219;0;9;
10;100;0;0;0;0;0;1;280;131;4.5;10;
11;0;100;0;0;0;0;1;102;0.04305;37.75;11;
12;0;0;100;0;0;0;1;651.5;0.0748;62;12;
13;0;0;0;20;80;0;1;578.5;0.11765;46;13;
14;0;0;0;40;60;0;1;548.5;0.0229;50.75;14;
15;0;0;0;80;20;0;1;409.5;138;24.25;15;
16;0;0;0;0;80;20;1;225;0.09275;77.5;16;
17;0;0;0;0;60;40;1;173.5;66;83.5;17;
18;0;0;0;0;20;80;1;100.6;683;85;18;
19;0;0;0;80;0;20;1;385.5;0.0985;64;19;
20;0;0;0;60;0;40;1;151;0.0648;79;20;
21;0;0;0;20;0;80;1;80.35;0.7365;87;21;
22;0;0;0;100;0;0;1;261;0.3845;1.25;22;
23;0;0;0;0;100;0;1;81.8;186;52.75;23;
24;0;0;0;0;0;100;1;71.2;0.5145;77;24;
25;20;0;0;0;80;0;1;70.4;0.2265;49;25;
26;40;0;0;0;60;0;1;421.5;0.0458;41.75;26;
27;60;0;0;0;40;0;1;403;0.0819;19.25;27;
28;80;0;0;0;20;0;1;392;0.0363;8.25;28;
29;0;20;0;0;80;0;1;71.25;233;45.25;29;
30;0;40;0;0;60;0;1;223;0.02011;44;30;
31;0;60;0;0;40;0;1;87.9;0.08705;51.5;31;
32;0;80;0;0;20;0;1;108.5;0.0549;29.25;32;
33;0;0;20;0;80;0;1;72.75;322;62;33;
34;0;0;40;0;60;0;1;107.5;0.09265;70.5;34;
35;0;0;60;0;40;0;1;137.5;0.03325;75;35;
36;0;0;80;0;20;0;1;235;0.0329;81.5;36;
37;20;0;0;80;0;0;1;453.5;0.04635;2.25;37;
38;40;0;0;60;0;0;1;515;0.0149;1.25;38;
39;60;0;0;40;0;0;1;596.5;0.02962;2.25;39;
40;80;0;0;20;0;0;1;588;0.0232;1.75;40;
41;0;20;0;80;0;0;1;510.5;0.0312;16.5;41;
